PWSID,SupplierName,ZIP,size,County,Hydrologic Region,Climate Zone,Population_21,PDSI_div
CA0410011,DEL ORO WATER CO.-PARADISE PINES,95954,LWS,Butte,Sacramento River,11.0,10513.0,40205.0
CA0510001,UNION PUBLIC UTILITY DISTRICT,95247,LWS,Calaveras,San Joaquin River,12.0,4668.0,40505.0
CA0510002,CALAVERAS PUD,95249,LWS,Calaveras,San Joaquin River,12.0,6286.0,40505.0
CA0510003,"ANGELS CAMP, CITY OF",95222,LWS,Calaveras,San Joaquin River,12.0,3836.0,40505.0
CA0610004,CITY OF WILLIAMS,95987,LWS,Colusa,Sacramento River,11.0,5255.0,40205.0
CA0710001,CITY OF ANTIOCH,94509,LWS,Contra Costa,San Joaquin River,12.0,115074.0,40505.0
CA0710002,GOLDEN STATE WATER COMPANY - BAY POINT,94565,LWS,Contra Costa,San Francisco Bay,12.0,22295.0,40405.0
CA0710003,CONTRA COSTA WATER DISTRICT,94520,LWS,Contra Costa,San Francisco Bay,12.0,198000.0,40405.0
CA0710004,CITY OF BRENTWOOD,94513,LWS,Contra Costa,San Joaquin River,12.0,65118.0,40505.0
CA0710008,CITY OF PITTSBURG,94565,LWS,Contra Costa,San Francisco Bay,12.0,62500.0,40405.0
CA0800555,GASQUET C.S.D.,95543,SWS,Del Norte,North Coast,16.0,775.0,40105.0
CA0810001,CITY OF CRESCENT CITY,95531,LWS,Del Norte,North Coast,1.0,14000.0,40105.0
CA0910001,EL DORADO ID - MAIN,95667,LWS,El Dorado,Sacramento River,12.0,130687.0,40205.0
CA0910012,TAHOE CITY PUD - RUBICON,96145,SWS,El Dorado.Placer,North Lahontan,16.0,703.0,40305.0
CA1010003,CITY OF CLOVIS,93611,LWS,Fresno,Tulare Lake,13.0,125722.0,40505.0
CA1010007,CITY OF FRESNO,93703,LWS,Fresno,Tulare Lake,13.0,541990.0,40505.0
CA1010029,CITY OF SANGER,93657,LWS,Fresno,Tulare Lake,13.0,25664.0,40505.0
CA1010044,"HURON, CITY OF",93234,SWS,Fresno,Tulare Lake,13.0,9306.0,40505.0
CA1210001,"ARCATA, CITY OF",95521,LWS,Humboldt,North Coast,1.0,19096.0,40105.0
CA1210008,GARBERVILLE SANITARY DISTRICT,95542,SWS,Humboldt,North Coast,2.0,1500.0,40105.0
CA1210009,HUMBOLDT C.S.D.,95503,LWS,Humboldt,North Coast,1.0,19485.0,40105.0
CA1210012,"RIO DELL, CITY OF",95562,LWS,Humboldt,North Coast,1.0,3300.0,40105.0
CA1210013,HUMBOLDT BAY MWD,95501,LWS,Humboldt,North Coast,1.0,88646.0,40105.0
CA1210016,MCKINLEYVILLE C.S.D.,95521,LWS,Humboldt,North Coast,1.0,16900.0,40105.0
CA1210023,LOLETA C.S.D.,95551,SWS,Humboldt,North Coast,1.0,750.0,40105.0
CA1310002,"CALEXICO, CITY OF",92231,LWS,Imperial,Colorado River,15.0,40357.0,40705.0
CA1310003,GSWC - CALIPATRIA,92233,LWS,Imperial,Colorado River,15.0,4335.0,40705.0
CA1400099,MOUNTAIN VIEW TRAILER COURT,93526,SWS,Inyo,South Lahontan,16.0,53.0,40705.0
CA1510001,ARVIN COMMUNITY SERVICES DIST,93203,LWS,Kern,Tulare Lake,13.0,21851.0,40505.0
CA1510006,EAST NILES CSD,93306,LWS,Kern,Tulare Lake,13.0,32517.0,40505.0
CA1510007,FRAZIER PARK PUD,93225,LWS,Kern,Tulare Lake,16.0,2691.0,40505.0
CA1510014,MOJAVE PUD,93501,LWS,Kern,South Lahontan,14.0,4230.0,40705.0
CA1510015,OILDALE MWC,93308,LWS,Kern,Tulare Lake,13.0,36726.0,40505.0
CA1510017,INDIAN WELLS VALLEY W.D.,93555,LWS,Kern.San Bernardino,South Lahontan,14.0,39478.0,40705.0
CA1510018,ROSAMOND CSD,93560,LWS,Kern,South Lahontan,14.0,16905.0,40705.0
CA1510019,"SHAFTER, CITY OF",93263,LWS,Kern,Tulare Lake,13.0,20500.0,40505.0
CA1510020,"TEHACHAPI, CITY OF",93561,LWS,Kern,Tulare Lake,16.0,8839.0,40505.0
CA1510022,WEST KERN WATER DISTRICT,93268,LWS,Kern,Tulare Lake,13.0,20965.0,40505.0
CA1510024,GREENFIELD COUNTY WD,93307,LWS,Kern,Tulare Lake,13.0,10986.0,40505.0
CA1510027,DESERT LAKE COMM SERV DIST,93516,SWS,Kern,South Lahontan,14.0,1036.0,40705.0
CA1510028,MIL POTRERO MWC,93222,LWS,Kern,Tulare Lake,16.0,1600.0,40505.0
CA1510032,"CALIFORNIA CITY, CITY OF",93505,LWS,Kern,South Lahontan,14.0,14198.0,40705.0
CA1510045,GOLDEN HILLS CSD,93561,LWS,Kern,Tulare Lake,16.0,9640.0,40505.0
CA1510046,LOST HILLS UTILITY DISTRICT,93249,SWS,Kern,Tulare Lake,13.0,2412.0,40505.0
CA1610001,ARMONA COMMUNITY SERVICES DIST,93202,LWS,Kings,Tulare Lake,13.0,4143.0,40505.0
CA1610003,"HANFORD, CITY OF",93230,LWS,Kings,Tulare Lake,13.0,17626.0,40505.0
CA1710001,CLEARLAKE OAKS COUNTY WATER DISTRICT,95423,LWS,Lake,Sacramento River,2.0,2359.0,40205.0
CA1710002,GOLDEN STATE WATER CO.-CLEARLAKE SYSTEM,95422,LWS,Lake,Sacramento River,2.0,4104.0,40205.0
CA1710003,HIGHLANDS MUTUAL WATER COMPANY,95422,LWS,Lake,Sacramento River,2.0,9494.0,40205.0
CA1710004,"LAKEPORT, CITY OF",95453,LWS,Lake,Sacramento River,2.0,4762.0,40205.0
CA1710008,NICE MUTUAL WATER COMPANY,95464,LWS,Lake,Sacramento River,2.0,2731.0,40205.0
CA1900303,LLANO MUTUAL WATER COMPANY,93544,SWS,Los Angeles,South Lahontan,14.0,264.0,40705.0
CA1900563,"SUNDALE MUTUAL WATER COMPANY A, B",93560,SWS,Los Angeles,South Lahontan,14.0,1100.0,40705.0
CA1900803,EL DORADO MUTUAL WATER CO.,93551,SWS,Los Angeles,South Lahontan,14.0,660.0,40705.0
CA1900804,EVERGREEN MUTUAL WATER COMPANY,93535,SWS,Los Angeles,South Lahontan,14.0,95.0,40705.0
CA1910001,CITY OF ALHAMBRA,91801,LWS,Los Angeles,South Coast,9.0,83750.0,40605.0
CA1910002,AMARILLO MUTUAL WATER COMPANY,91770,SWS,Los Angeles,South Coast,9.0,3134.0,40605.0
CA1910003,CITY OF ARCADIA,91006,LWS,Los Angeles,South Coast,9.0,44738.0,40605.0
CA1910004,GSWC - ARTESIA,90701,LWS,Los Angeles,South Coast,8.0,48150.0,40605.0
CA1910007,AZUSA LIGHT AND WATER,91702,LWS,Los Angeles,South Coast,9.0,110044.0,40605.0
CA1910009,VALLEY COUNTY WATER DIST.,91706,LWS,Los Angeles,South Coast,9.0,56754.0,40605.0
CA1910011,"GSWC - BELL, BELL GARDENS",90201,LWS,Los Angeles,South Coast,8.0,58269.0,40605.0
CA1910013,BELLFLOWER - SOMERSET MWC,90706,LWS,Los Angeles,South Coast,8.0,46300.0,40605.0
CA1910017,SANTA CLARITA WATER DIVISION,91350,LWS,Los Angeles,South Coast,9.0,131729.0,40605.0
CA1910018,BELLFLOWER MUNICIPAL WATER SYSTEM,90706,LWS,Los Angeles,South Coast,8.0,5967.0,40605.0
CA1910019,"CERRITOS - CITY, WATER DEPT.",90703,LWS,Los Angeles,South Coast,8.0,49041.0,40605.0
CA1910021,PARK WC - COMPTON,90241,LWS,Los Angeles,South Coast,8.0,23802.0,40605.0
CA1910024,GSWC - CLAREMONT,91711,LWS,Los Angeles,South Coast,9.0,37580.0,40605.0
CA1910028,CRESCENTA VALLEY CWD,91214,LWS,Los Angeles,South Coast,9.0,33203.0,40605.0
CA1910029,CITY OF INDUSTRY WATERWORKS SYSTEMS,91744,LWS,Los Angeles,South Coast,9.0,6029.0,40605.0
CA1910030,GSWC - CULVER CITY,90230,LWS,Los Angeles,South Coast,8.0,36364.0,40605.0
CA1910035,KINNELOA IRRIGATION DIST.,91107,SWS,Los Angeles,South Coast,9.0,1940.0,40605.0
CA1910039,SAN GABRIEL VALLEY WATER CO.-EL MONTE,91732,LWS,Los Angeles,South Coast,9.0,254000.0,40605.0
CA1910042,"PICO RIVERA - CITY, WATER DEPT.",90660,LWS,Los Angeles,South Coast,9.0,40205.0,40605.0
CA1910043,"GLENDALE-CITY, WATER DEPT.",91206,LWS,Los Angeles,South Coast,9.0,205331.0,40605.0
CA1910049,"HUNTINGTON PARK-CITY, WATER DEPT.",90255,LWS,Los Angeles,South Coast,8.0,15414.0,40605.0
CA1910052,CAL/AM WATER COMPANY - BALDWIN HILLS,91770,LWS,Los Angeles,South Coast,8.0,20665.0,40605.0
CA1910054,LA CANADA IRRIGATION DIST.,91011,LWS,Los Angeles,South Coast,9.0,9300.0,40605.0
CA1910060,LA PUENTE VALLEY CWD,91744,LWS,Los Angeles,South Coast,9.0,8108.0,40605.0
CA1910061,LAS FLORES WATER CO.,91001,LWS,Los Angeles,South Coast,9.0,4844.0,40605.0
CA1910064,LITTLEROCK CREEK IRRIGATION DIST.,93543,LWS,Los Angeles,South Lahontan,14.0,3122.0,40705.0
CA1910070,LOS ANGELES CO WW DIST 4 & 34-LANCASTER,93535,LWS,Los Angeles,South Lahontan,14.0,187372.0,40705.0
CA1910072,GSWC - WILLOWBROOK,90061,LWS,Los Angeles,South Coast,8.0,11069.0,40605.0
CA1910077,GSWC - FLORENCE/GRAHAM,90670,LWS,Los Angeles,South Coast,8.0,66422.0,40605.0
CA1910091,MONTEBELLO LAND & WATER CO.,90640,LWS,Los Angeles,South Coast,9.0,26554.0,40605.0
CA1910092,"MONTEREY PARK-CITY, WATER DEPT.",91754,LWS,Los Angeles,South Coast,9.0,62183.0,40605.0
CA1910096,NEWHALL CWD-NEWHALL,91321,LWS,Los Angeles,South Coast,9.0,16959.0,40605.0
CA1910098,GSWC - NORWALK,90670,LWS,Los Angeles,South Coast,9.0,43903.0,40605.0
CA1910099,PARADISE RANCH MHP,91384,SWS,Los Angeles,South Coast,9.0,345.0,40605.0
CA1910101,ORCHARD DALE WATER DISTRICT,90604,LWS,Los Angeles,South Coast,9.0,25000.0,40605.0
CA1910102,PALMDALE WATER DIST.,93550,LWS,Los Angeles,South Lahontan,14.0,126994.0,40705.0
CA1910103,PALM RANCH IRRIGATION DIST.,93536,LWS,Los Angeles,South Lahontan,14.0,5564.0,40705.0
CA1910105,"PARAMOUNT - CITY, WATER DEPT.",90723,LWS,Los Angeles,South Coast,8.0,55200.0,40605.0
CA1910117,"MONTEBELLO-CITY, WATER DEPT.",90640,LWS,Los Angeles,South Coast,9.0,8157.0,40605.0
CA1910130,QUARTZ HILL WATER DIST.,93536,LWS,Los Angeles,South Lahontan,14.0,20352.0,40705.0
CA1910139,CAL/AM WATER COMPANY - SAN MARINO,91770,LWS,Los Angeles,South Coast,8.0,47626.0,40605.0
CA1910140,RUBIO CANON LAND & WATER ASSOCIATION,91001,LWS,Los Angeles,South Coast,9.0,9600.0,40605.0
CA1910143,"SAN FERNANDO-CITY, WATER DEPT.",91340,LWS,Los Angeles,South Coast,9.0,24322.0,40605.0
CA1910144,SAN GABRIEL COUNTY WD,91770,LWS,Los Angeles,South Coast,9.0,45000.0,40605.0
CA1910146,"SANTA MONICA-CITY, WATER DIVISION",90025,LWS,Los Angeles,South Coast,6.0,91411.0,40605.0
CA1910148,"SIERRA MADRE-CITY, WATER DEPT.",91024,LWS,Los Angeles,South Coast,9.0,11000.0,40605.0
CA1910149,"SIGNAL HILL - CITY, WATER DEPT.",90755,LWS,Los Angeles,South Coast,6.0,11795.0,40605.0
CA1910152,"SOUTH GATE-CITY, WATER DEPT.",90280,LWS,Los Angeles,South Coast,8.0,76443.0,40605.0
CA1910154,CITY OF SOUTH PASADENA,91030,LWS,Los Angeles,South Coast,9.0,26174.0,40605.0
CA1910155,GSWC - SOUTHWEST,90247,LWS,Los Angeles,South Coast,8.0,275538.0,40605.0
CA1910156,"BEVERLY HILLS-CITY, WATER DEPT.",90210,LWS,Los Angeles,South Coast,9.0,45007.0,40605.0
CA1910161,PARK WC - LYNWOOD,90241,LWS,Los Angeles,South Coast,8.0,24171.0,40605.0
CA1910163,VALENCIA HEIGHTS WATER CO.,91791,LWS,Los Angeles,South Coast,9.0,7775.0,40605.0
CA1910166,VALLEY WATER CO.,91011,LWS,Los Angeles,South Coast,9.0,10070.0,40605.0
CA1910167,"VERNON-CITY, WATER DEPT.",90058,LWS,Los Angeles,South Coast,8.0,28000.0,40605.0
CA1910169,WALNUT PARK MUTUAL WATER CO.,90255,LWS,Los Angeles,South Coast,8.0,16180.0,40605.0
CA1910173,"WHITTIER-CITY, WATER DEPT.",90602,LWS,Los Angeles,South Coast,9.0,49954.0,40605.0
CA1910185,LOS ANGELES CO WW DIST 36-VAL VERDE,91384,LWS,Los Angeles,South Coast,9.0,5289.0,40605.0
CA1910186,CAL-AM WATER COMPANY - DUARTE,91770,LWS,Los Angeles,South Coast,8.0,24734.0,40605.0
CA1910189,SAN GABRIEL VALLEY WATER CO.-MONTEBELLO,90640,LWS,Los Angeles,South Coast,9.0,8630.0,40605.0
CA1910194,ROWLAND WATER DISTRICT,91748,LWS,Los Angeles,South Coast,9.0,59283.0,40605.0
CA1910195,GSWC - HOLLYDALE,90280,LWS,Los Angeles,South Coast,8.0,7691.0,40605.0
CA1910203,"LOS ANGELES CWWD 40, R24, 27,33-PEARBLSM",91803,LWS,Los Angeles,South Lahontan,9.0,10854.0,40705.0
CA1910211,PARK WC - BELLFLOWER-NORWALK,90241,LWS,Los Angeles,South Coast,8.0,72964.0,40605.0
CA1910212,GSWC-SOUTH ARCADIA,91006,LWS,Los Angeles,South Coast,9.0,27113.0,40605.0
CA1910223,GSWC-SOUTH SAN GABRIEL,91770,LWS,Los Angeles,South Coast,9.0,27933.0,40605.0
CA1910239,"LAKEWOOD - CITY, WATER DEPT.",90712,LWS,Los Angeles,South Coast,8.0,63050.0,40605.0
CA1910240,VALENCIA WATER CO.,91355,LWS,Los Angeles,South Coast,9.0,99774.0,40605.0
CA1910241,MESA CREST WATER CO.,91011,SWS,Los Angeles,South Coast,9.0,2336.0,40605.0
CA1910245,"SANTA FE SPRINGS - CITY, WATER DEPT.",90670,LWS,Los Angeles,South Coast,9.0,18533.0,40605.0
CA1910247,NEWHALL CWD-CASTAIC,91321,LWS,Los Angeles,South Coast,9.0,9820.0,40605.0
CA1910248,LOS ANGELES CO WW DIST 37-ACTON,93510,LWS,Los Angeles,South Coast,14.0,6600.0,40605.0
CA1910249,WHITE FENCE FARMS MUTUAL WATER CO.,93551,SWS,Los Angeles,South Lahontan,14.0,1362.0,40705.0
CA1910250,NEWHALL CWD-PINETREE,91321,LWS,Los Angeles,South Coast,9.0,15219.0,40605.0
CA2010002,CITY OF MADERA,93637,LWS,Madera,San Joaquin River,13.0,66225.0,40505.0
CA2110004,STINSON BEACH COUNTY WTR DIST,94970,SWS,Marin,San Francisco Bay,3.0,1500.0,40105.0
CA2300507,CALPELLA COUNTY WATER DISTRICT,95482,SWS,Mendocino,North Coast,2.0,548.0,40105.0
CA2300514,ELK COUNTY WATER DISTRICT,95432,SWS,Mendocino,North Coast,1.0,380.0,40105.0
CA2300545,SHORELANDS ROAD & WATER COMPANY,95460,SWS,Mendocino,North Coast,1.0,85.0,40105.0
CA2300730,WESTPORT COUNTY WATER DISTRICT,95488,SWS,Mendocino,North Coast,1.0,369.0,40105.0
CA2310001,"FORT BRAGG, CITY OF",95437,LWS,Mendocino,North Coast,1.0,7250.0,40105.0
CA2310003,"UKIAH, CITY OF",95482,LWS,Mendocino,North Coast,2.0,15995.0,40105.0
CA2310006,MILLVIEW COUNTY WATER DISTRICT,95482,LWS,Mendocino,North Coast,2.0,5500.0,40105.0
CA2310007,NORTH GUALALA WATER COMPANY,95445,LWS,Mendocino,North Coast,1.0,2593.0,40105.0
CA2310009,BROOKTRAILS TOWNSHIP CSD,95490,LWS,Mendocino,North Coast,2.0,3800.0,40105.0
CA2310011,LAYTONVILLE COUNTY WATER DISTRICT,95454,SWS,Mendocino,North Coast,2.0,2000.0,40105.0
CA2310013,POINT ARENA WATER WORKS,95468,SWS,Mendocino,North Coast,1.0,472.0,40105.0
CA2410005,CITY OF LOS BANOS,93635,LWS,Merced,San Joaquin River,12.0,41923.0,40505.0
CA2410012,HILMAR COUNTY WATER DISTRICT,95324,LWS,Merced,San Joaquin River,12.0,5416.0,40505.0
CA2410018,SANTA NELLA COUNTY WATER DISTRICT,95322,SWS,Merced,San Joaquin River,12.0,1308.0,40505.0
CA2700728,SAN ARDO WD,93450,SWS,Monterey,Central Coast,4.0,575.0,40405.0
CA2700773,SUNNY MESA WATER SYSTEM,95076,SWS,Santa Cruz,Central Coast,3.0,880.0,40405.0
CA2701926,MORO RD WS #09,93907,SWS,Monterey,Central Coast,3.0,210.0,40405.0
CA2702521,SANTA LUCIA PRESERVE WS,93923,SWS,Monterey,Central Coast,3.0,554.0,40405.0
CA2702588,CANADA WOODS WC,93923,SWS,Monterey,Central Coast,3.0,610.0,40405.0
CA2710001,ALCO WATER SERVICE,93905,LWS,Monterey,Central Coast,3.0,30103.0,40405.0
CA2710004,CAL AM WATER COMPANY - MONTEREY,93950,LWS,Monterey,Central Coast,3.0,93007.0,40405.0
CA2710006,CAL AM WATER COMPANY - AMBLER PARK,93950,SWS,Monterey,Central Coast,3.0,980.0,40405.0
CA2710011,"SOLEDAD, CITY OF",93960,LWS,Monterey,Central Coast,3.0,16729.0,40405.0
CA2710017,MARINA COAST WATER DISTRICT,93933,LWS,Monterey,Central Coast,3.0,37472.0,40405.0
CA2710018,SEASIDE MUNICIPAL WATER SYSTEM,93955,SWS,Monterey,Central Coast,3.0,2800.0,40405.0
CA2710020,PAJARO COMMUNITY SERVICES DISTRICT,95076,SWS,Santa Cruz,Central Coast,3.0,6500.0,40405.0
CA2710021,CAL AM WATER COMPANY - TORO,93905,SWS,Monterey,Central Coast,3.0,1065.0,40405.0
CA2710022,CAL AM WATER COMPANY - HIDDEN HILLS,93940,SWS,Monterey,Central Coast,3.0,1106.0,40405.0
CA2710023,TASCO SPRECKELS WATER COMPANY,93908,SWS,Monterey,Central Coast,3.0,1079.0,40405.0
CA2800526,LAKE BERRYESSA RESORT IMPROVEMENT DIST,94567,SWS,Napa,Sacramento River,2.0,476.0,40205.0
CA2810003,"NAPA, CITY OF",94559,LWS,Napa,San Francisco Bay,2.0,86906.0,40105.0
CA2810013,BERRYESSA HIGHLANDS,94558,SWS,Napa,San Francisco Bay,2.0,938.0,40105.0
CA2910003,"TRUCKEE-DONNER PUD, MAIN",96161,LWS,Nevada.Placer,North Lahontan,16.0,36730.0,40305.0
CA2910004,"NEVADA ID - E. GEORGE, BANNER MOUNTAIN",95959,LWS,Nevada.Placer,Sacramento River,11.0,17233.0,40205.0
CA3010001,CITY OF ANAHEIM,92805,LWS,Orange,South Coast,8.0,369033.0,40605.0
CA3010003,CITY OF BUENA PARK,90620,LWS,Orange,South Coast,8.0,81998.0,40605.0
CA3010017,LAGUNA BEACH COUNTY WD,92651,LWS,Orange,South Coast,6.0,23343.0,40605.0
